match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
KR_7345308743,blue,19,0,163,0,42,0,202,0,526,0,126,0,104,0,8,0,21,0,50,12893
EUW1_7206990693,blue,887,70889,799,9418,910,56684,42,339048,111,103174,266,615849,203,429621,7,459793,81,457473,223,5985
NA1_5145261626,red,164,52574,245,69374,42,40965,147,599556,89,15270,777,9023,91,37458,61,54334,81,213250,37,469554
KR_7351280587,blue,60,118211,203,499775,163,143572,110,375830,555,130106,68,40742,234,50412,517,45322,22,65145,497,25460
EUW1_7203028669,blue,150,139876,234,26511,127,21481,222,174384,412,17665,126,657178,64,266328,103,39616,42,5375,888,307636
NA1_5154285220,blue,78,3925672,234,168723,84,221680,51,91797,526,664032,54,211809,120,147571,517,428157,22,147836,555,104667
KR_7347390147,blue,24,46807,20,339196,39,368538,221,353400,78,22234,517,1273096,60,135497,42,35832,222,157841,98,1771180
EUW1_7174939035,red,420,401585,72,53094,103,36652,22,901136,497,58964,77,513711,234,535798,105,3718067,523,269201,89,31646
KR_7374396313,blue,799,22198,120,249661,84,112413,42,8850,78,12045,58,153928,64,747754,166,226434,96,8313,43,116129
NA1_5152267701,red,164,1700683,121,456325,84,1444606,147,26227,267,182200,62,47541,72,17428,517,78903,42,36897,53,31098
KR_7367970234,blue,79,45463,64,39649,517,184585,42,114383,497,409481,23,244610,76,108206,157,24746,202,15765,526,4320
KR_7357954163,red,106,780371,104,156108,7,341267,147,185495,555,106272,893,27158,76,98775,157,168521,110,44102,53,234465
EUW1_7181945625,red,8,1576298,113,332542,84,194104,51,12202,99,46967,799,13060,234,273435,134,318047,202,343391,117,347913
KR_7367718811,red,893,70840,234,102770,4,513410,202,52376,12,26670,80,425041,76,40426,254,36552,51,83386,526,179545
EUW1_7207869987,blue,79,133241,77,5122300,126,154753,110,157026,117,641827,799,11879,121,194485,61,1329,42,94577,26,2465918
KR_7366962672,blue,897,35295,131,208485,517,339574,42,39560,432,273030,82,8580,120,261742,711,1234300,119,2078715,79,3600
KR_7373870402,red,24,250328,76,1022490,777,225888,110,93441,526,402275,799,30889,64,606458,61,64484,22,55316,78,25403
NA1_5155861172,blue,777,116313,121,229415,517,121213,22,132088,555,636192,887,49311,427,1785947,126,156742,42,153715,44,159288
KR_7376506097,red,92,250357,76,66579,777,84857,202,119247,526,149814,6,917498,64,69495,7,34075,51,22611,89,28354
KR_7357268232,blue,80,2365276,421,188727,268,2096154,429,7611,888,60560,24,207933,200,219362,893,154589,42,86278,526,17275
KR_7358940895,red,17,1274590,104,52741,80,253761,51,76866,99,22407,799,47546,234,520544,245,978966,429,173253,111,64040
NA1_5136522860,blue,516,12886,20,135233,166,1950308,222,32652,43,814833,24,1054710,17,504003,163,768545,145,301952,111,177712
NA1_5141046848,blue,72,105147,104,44234,134,81760,115,62060,432,53562,82,37312,163,51264,901,11190,126,82049,37,24810
KR_7382105107,red,24,199038,163,17409,777,321276,119,5889,111,13049,57,686390,60,235207,238,3773814,22,55316,201,2222
KR_7366562341,red,92,902644,163,217648,58,51518,96,34935,555,12511,24,252677,76,98775,42,108233,157,152436,497,26403
NA1_5149313026,red,897,352701,72,145844,901,3854,96,155336,26,8514846,67,13542,2,46801,163,1073939,18,203602,147,237239
KR_7336724443,red,154,2210885,76,645348,901,92407,81,94597,201,139011,78,3345893,104,181074,517,207392,145,1492985,432,57255
NA1_5160644339,red,897,36654,200,1983,163,97104,202,500741,267,1338973,92,2835654,254,6866,61,383166,50,106420,147,215377
NA1_5149359115,red,141,21884,234,65957,799,50890,81,323380,99,301587,777,203212,35,2468356,134,23103,27,102659,89,100336
KR_7368768958,blue,893,143438,104,116601,3,15941,51,274961,111,29497,24,205504,62,9759,103,34230,22,331129,201,66938
NA1_5143231000,blue,897,236264,77,99797,887,384411,22,109220,43,25500,92,6459357,876,55419,777,46577,30,677661,89,19201
