match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
KR_7384921169,blue,23,306856,143,32194,901,55413,202,10078,497,356396,17,4648,254,35666,893,27370,222,8875,12,415015
KR_7384868630,blue,79,23157,62,56681,893,95475,22,55316,555,224626,24,415783,234,22738,4,70826,51,228836,89,206952
KR_7384834382,blue,58,410291,76,332850,246,653193,222,33276,12,274329,799,50767,203,406103,517,374734,42,73359,89,103079
KR_7384769504,red,799,50767,234,245065,893,10178,202,118778,89,103079,58,67898,104,77916,910,149412,22,324514,78,59671
KR_7384019577,blue,126,333939,143,92042,777,9133,145,388472,57,5853,897,178404,30,6885,901,55413,202,48500,12,20687
KR_7383973995,red,164,45137,72,73599,893,39750,202,32376,89,188075,799,50767,5,68216,163,165316,22,22823,201,88606
KR_7383429100,blue,799,1367,143,117986,163,28605,42,9251,53,78670,58,67898,104,463750,61,351398,222,33276,412,114575
KR_7383382967,red,897,84648,143,34989,84,196859,42,93439,12,485585,150,201466,131,22826,901,55413,157,324270,44,21375
KR_7383340736,blue,799,22489,30,40992,517,447324,42,93439,57,101465,58,239067,76,93226,901,55413,110,67141,111,113186
KR_7383217018,red,897,84648,76,259574,901,55413,42,107372,235,55643,78,3345893,30,40992,777,94296,498,12436,497,420829
KR_7383131687,red,893,712,62,56681,555,1645748,429,33039,78,16368,150,209998,234,1099375,517,90489,42,115235,888,1248568
KR_7383030629,red,57,54014,104,30311,246,150830,115,180884,555,191872,150,17852,64,163932,142,167413,22,146311,89,96316
KR_7382951478,blue,24,264634,104,30311,84,109655,157,10595,12,168090,68,289233,143,53385,777,79468,22,146311,201,87691
KR_7382820519,blue,36,541887,143,5401,42,115235,81,366704,555,1645748,41,311044,799,3417,84,76601,51,202255,201,3681
KR_7378637822,blue,24,250328,200,679483,55,120423,42,24526,111,72943,3,503709,234,195427,893,40648,22,22823,43,69744
KR_7378542848,blue,68,172481,234,440001,61,1389920,523,29222,888,131182,893,117764,200,679483,517,38080,222,33276,117,81611
KR_7378343165,red,24,241830,64,585431,4,32728,145,351777,555,224626,150,194342,254,101723,7,343169,22,55316,78,20490
KR_7378278661,blue,3,4995,104,95850,893,39750,21,94755,111,263447,24,415783,143,59318,13,7447,51,202255,89,101618
KR_7378227074,blue,897,85281,104,95850,103,70325,222,219053,432,62132,893,9974,143,59318,901,55413,51,52952,201,87691
KR_7378068932,blue,14,932,876,60384,901,55413,202,72057,89,490348,150,201466,143,102466,777,269753,222,64279,12,6992
KR_7377907741,blue,58,439102,104,431638,910,149412,115,13220,89,13841,19,782907,76,47343,157,26575,51,74143,99,66331
KR_7377838446,red,68,205134,143,59318,777,216477,51,110671,89,53912,84,110787,30,5615,901,55413,202,207508,111,142942
KR_7377794298,red,150,57929,76,1105912,126,45015,202,12613,89,47353,799,16112,143,97197,901,55413,51,74143,432,13008
KR_7377744500,red,893,121890,104,613277,3,1667,51,52952,432,4489,164,35874,203,310109,4,70826,221,192404,89,63621
KR_7377711183,blue,799,22489,203,198117,4,70826,42,46448,3,34440,58,202809,79,12173,893,5427,901,21897,12,7083
KR_7377255556,red,24,140559,104,34369,893,27370,51,86953,518,37945,50,80489,203,310109,910,149412,22,143825,201,93960
KR_7377206495,red,164,457451,254,31788,893,39750,81,8031,517,235754,61,1389920,234,637489,79,4076,42,73359,201,17367
KR_7377147218,red,57,434117,234,469755,84,49595,202,21791,111,436560,266,47988,163,2910,901,55413,42,73359,12,40124
KR_7377054053,blue,19,1117915,64,832174,7,207699,42,46448,89,330537,24,146644,72,4355,268,106308,51,156741,99,8714
KR_7376847983,blue,893,21602,104,146984,136,1004753,222,33276,526,221769,39,319511,143,16685,18,99489,202,999,555,224626
KR_7376759349,blue,150,177799,72,82474,268,694810,202,134209,201,202858,54,16200,91,277613,893,12502,222,33276,89,330537
KR_7376668124,blue,799,22976,104,613277,50,1207,202,10852,89,101618,24,70957,143,19464,42,115235,221,7514,432,2449539
KR_7376592251,red,24,48870,64,107668,893,39750,18,6878,53,80783,897,34419,76,1105912,901,92407,51,228836,432,2449539
KR_7376242389,red,24,28697,64,585431,4,2316905,429,152121,518,33842,78,409373,234,1099375,893,39750,119,4700,888,3305
KR_7376130841,red,897,741268,64,717161,13,34581,145,37105,555,1082,126,585662,234,469755,910,149412,51,255656,201,64876
KR_7376096695,red,897,741268,102,21768,12,5319,115,27200,42,115235,57,104252,234,440001,7,343169,51,202255,99,17574
KR_7376008784,blue,799,6150,76,66579,893,39750,110,211513,78,107551,82,11835,143,59318,42,82319,429,68615,518,25088
KR_7369621898,red,154,2210885,234,34183,103,39203,42,75619,89,36692,897,271124,104,158422,517,207392,202,71384,526,273554
KR_7369570791,blue,799,16112,30,97050,901,55413,42,42257,57,64287,150,37275,143,85406,777,79118,51,202255,518,74812
KR_7369518865,blue,57,434117,104,434663,163,198244,202,519110,86,336584,799,36777,143,19464,50,13794,42,13361,235,912106
KR_7368731375,blue,887,66473,104,6444,517,80591,145,37105,526,357957,799,8427,200,215220,163,45300,202,16574,518,63023
