match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5155793891,blue,122,136183,517,26970,910,58733,42,103576,43,104504,266,46905,887,30574,142,15821,81,397243,223,10579
NA1_5155755771,red,893,40350,76,95470,777,41644,42,123775,526,166477,897,2250151,234,30003,142,321466,29,203296,117,26381
NA1_5155721452,blue,43,14177,76,8313,81,3162,80,152713,58,1808044,887,89264,59,3922074,910,410058,42,86989,72,25044
NA1_5155672191,red,799,7841,59,57839,711,685186,910,141512,432,9369,58,250544,9,49701,777,41644,51,282426,53,64704
NA1_5155651145,red,164,143046,76,27540,950,1082191,63,1300602,111,476556,58,40460,30,21930,901,33864,51,282426,25,7016
NA1_5155627122,red,897,12251,131,17399,157,1280968,42,64823,111,476556,58,29410,11,815227,875,1787,63,1300602,235,15939
NA1_5154941362,red,6,1037380,104,3397,99,43614,96,22431,57,81890,79,402984,64,221815,901,33864,147,218296,111,476556
NA1_5154921697,blue,799,21795,121,90042,103,18362,96,22431,111,98135,58,25310,234,121970,163,81399,147,19613,555,23340
NA1_5154903056,red,79,2604,64,221815,69,40114,42,6756,497,58285,555,124166,104,297368,901,33864,50,2980501,6,1037380
NA1_5154383754,red,39,154826,60,7157,901,33864,145,227236,526,74307,887,384411,141,206713,157,1211978,50,2980501,78,106264
NA1_5154345526,red,799,51024,121,90042,517,428157,51,282426,555,298671,164,476284,234,488408,266,46905,115,70748,235,183980
NA1_5154322857,blue,799,51024,107,2708943,901,33864,51,91797,43,184669,516,156386,234,488408,163,1073939,42,68346,44,6638174
NA1_5154290431,blue,10,311566,121,93432,517,286421,202,105127,111,476556,98,143309,254,108680,13,3157,42,32686,267,491974
