match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
EUW1_7212509209,red,164,757232,64,75213,3,166568,30,414402,526,216729,777,129121,254,99055,10,664014,2,938876,432,202859
EUW1_7212449275,red,897,22652,234,272149,777,440171,147,17352,37,1219262,163,2761291,238,197435,10,664014,901,46121,497,235573
EUW1_7212341075,red,799,7131,254,69492,134,47379,115,7932,526,125504,163,2761291,203,50587,517,903579,360,149939,888,143669
EUW1_7212245156,red,24,119246,77,19551,10,664014,901,46121,53,218249,85,314768,234,272149,42,141337,96,173128,43,9645
EUW1_7212153347,red,799,13139,234,272149,34,668357,157,7039,497,138197,74,2302445,427,1145389,777,23789,901,46121,78,19843
EUW1_7211981107,red,39,46821,76,26622,268,9999,42,43070,12,164105,58,223879,104,28599,910,131938,10,664014,111,46900
EUW1_7211903776,red,799,6534,62,24325,3,15565,30,414402,267,127802,58,306632,131,177748,893,9848,157,26056,78,193798
EUW1_7211822408,red,6,8967,254,69492,50,695,22,901136,518,170154,106,50477,234,655785,147,65042,103,212427,111,438170
EUW1_7210922343,blue,893,13823,76,26622,901,8630,22,147490,526,133445,164,757232,234,6991,3,144988,115,37945,12,98066
EUW1_7210828381,red,79,40509,234,45774,39,673968,96,173128,111,358513,777,141372,64,75213,150,358471,115,43132,267,454107
EUW1_7210769827,red,777,44130,106,39834,163,56633,145,372568,412,1051234,98,841184,64,91256,7,231162,51,168331,117,347402
EUW1_7210684306,blue,58,208578,234,272149,84,76625,145,372568,89,135039,86,1841280,107,287012,3,15803,81,693790,99,2981878
EUW1_7209368576,red,164,2189238,234,272149,7,213935,202,157474,89,6706,85,112348,35,787874,799,22828,67,1132253,888,3580
EUW1_7209262983,red,799,23111,72,101574,61,78251,81,702466,432,95110,17,29203,157,35443,25,15055,22,30798,555,163782
EUW1_7196050779,red,897,16277,120,251380,134,333887,523,580188,53,25923,901,30652,72,101574,517,176062,222,243238,117,347402
EUW1_7195567725,red,41,4774690,72,45228,157,1662536,96,122624,497,242118,39,335039,234,272149,246,1252807,30,1536776,555,74688
EUW1_7195490355,red,150,46384,11,1331230,4,126884,119,188868,412,17665,8,1576298,254,69492,246,1252807,147,70774,53,2892
EUW1_7195405225,blue,164,300127,91,54461,103,387338,96,25571,53,99253,58,23758,163,188118,777,23522,42,112097,147,542773
EUW1_7195356858,blue,114,899928,876,1627,799,12304,96,25571,555,37399,13,18230,234,272149,777,194490,42,339048,12,16522
